Year;Miss;1ere Dauphine;2eme Dauphine;3eme Dauphine;4eme Dauphine
2020;guadeloupe_2020;provence_2020;tahiti_2020;bourgogne_2020;cote-d-azur_2020
2019;tahiti_2019;guadeloupe_2019;franche-comte_2019;reunion_2019;limousin_2019
2018;nord-pas-de-calais_2018;corse_2018;ile-de-France_2018;champagne_ardennes_2018;reunion_2018
2017;reunion_2017;languedoc-roussillon_2017;tahiti_2017;guadeloupe_2017;lorraine_2017
2016;nord-pas-de-calais_2016;martinique_2016;tahiti_2016;provence_2016;reunion_2016
2015;nord-pas-de-calais_2015;tahiti_2015;cote-d-azur_2015;aquitaine_2015;alsace_2015
2014;orleanais_2014;tahiti_2014;provence_2014;cote-d-azur_2014;guadeloupe_2014
2013;bourgogne_2013;tahiti_2013;nord-pas-de-calais_2013;martinique_2013;pays-de-loire_2013
2012;alsace_2012;pays-de-loire_2012;reunion_2012;provence_2012;cote-d-azur_2012
2011;bretagne_2011;languedoc_2011;auvergne_2011;picardie_2011;ile-de-france_2011
2010;normandie_2010;rhone-alpes_2010;bretagne_2010;provence_2010;quercy-rouergue_2010
2009;albigeois-midi-pyrenees_2009;lorraine_2009;pays-de-loire_2009;mayotte_2009;bretagne_2009
1997;paris_1997;toulouse-midi-pyrenees_1997;anjou_1997;guadeloupe_1997;aquitaine_1997
